Arduino:Uno Pin:A0 Freq:250 Threshold:5 Resistor:1000 VoltageIn:5
Time Voltage1 Voltage2_AR_Value Voltage2_Calc Resistance_Calc
1439779015983 5 962 4.701857282502444 15770.491803278703
1439779016235 5 965 4.7165200391006845 16637.931034482775
1439779017242 5 909 4.442815249266862 7973.684210526309
1439779017493 5 900 4.39882697947214 7317.073170731702
1439779019003 5 898 4.389051808406647 7183.999999999995
1439779023025 5 921 4.501466275659824 9029.411764705874
1439779024033 5 928 4.535679374389052 9768.421052631587
1439779024790 5 907 4.433040078201368 7818.965517241374
1439779025041 5 900 4.39882697947214 7317.073170731702
1439779048945 5 896 4.379276637341153 7055.118110236216
1439779049954 5 889 4.345063538611925 6634.328358208952
1439779050711 5 857 4.188660801564027 5162.650602409637
1439779050962 5 830 4.056695992179863 4300.518134715026
1439779051216 5 702 3.43108504398827 2186.9158878504672
1439779051467 5 429 2.096774193548387 722.2222222222222
1439779051718 5 274 1.3391984359726294 365.82109479305734
1439779051971 5 523 2.5562072336265884 1046
1439779052225 5 503 2.458455522971652 967.3076923076924
1439779052476 5 229 1.1192570869990224 288.4130982367758
1439779052730 5 123 0.6011730205278593 136.66666666666669
1439779052983 5 87 0.4252199413489736 92.94871794871794
1439779053234 5 72 0.3519061583577713 75.70977917981072
1439779053486 5 62 0.30303030303030304 64.51612903225806
1439779053740 5 56 0.27370478983382207 57.911065149948286
1439779053991 5 48 0.23460410557184752 49.23076923076923
1439779054241 5 44 0.21505376344086022 44.943820224719104
1439779055000 5 60 0.2932551319648094 62.30529595015576
1439779055253 5 55 0.26881720430107525 56.81818181818181
1439779055506 5 36 0.17595307917888564 36.474164133738604
1439779055756 5 35 0.1710654936461388 35.425101214574894
1439779056262 5 38 0.18572825024437928 38.578680203045685
1439779057015 5 44 0.21505376344086022 44.943820224719104
1439779057268 5 44 0.21505376344086022 44.943820224719104
1439779058525 5 48 0.23460410557184752 49.23076923076923
1439779059783 5 53 0.2590420332355816 54.63917525773196
1439779060541 5 246 1.2023460410557185 316.60231660231665
1439779060793 5 572 2.795698924731183 1268.2926829268295
1439779061045 5 838 4.095796676441838 4529.729729729729
1439779061297 5 891 4.354838709677419 6749.999999999995
1439779061547 5 900 4.39882697947214 7317.073170731702
1439779070095 5 927 4.530791788856305 9656.25000000001
1439779070345 5 935 4.56989247311828 10625.00000000001
1439779070597 5 942 4.604105571847508 11629.62962962964
1439779071100 5 946 4.623655913978495 12285.714285714297
1439779072358 5 967 4.726295210166178 17267.85714285716
1439779072610 5 975 4.765395894428153 20312.500000000022
1439779072864 5 980 4.789833822091887 22790.697674418625
1439779073366 5 986 4.819159335288368 26648.648648648672
1439779075125 5 991 4.843597262952102 30968.75000000003
1439779077138 5 951 4.648093841642229 13208.333333333345
1439779077391 5 914 4.467253176930596 8385.321100917425
1439779077645 5 906 4.428152492668621 7743.589743589739
1439779078147 5 903 4.413489736070381 7524.9999999999945
1439779089216 5 909 4.442815249266862 7973.684210526309
1439779089720 5 942 4.604105571847508 11629.62962962964
1439779089973 5 948 4.633431085043989 12640.000000000013
1439779090732 5 964 4.711632453567938 16338.983050847473
1439779091488 5 949 4.638318670576735 12824.324324324338
1439779091988 5 961 4.696969696969697 15500.000000000015
1439779092490 5 969 4.736070381231672 17944.44444444446
1439779092744 5 972 4.750733137829912 19058.823529411784
1439779093752 5 963 4.706744868035191 16050.000000000015
1439779094003 5 953 4.657869012707723 13614.285714285726
1439779094509 5 947 4.628543499511242 12460.526315789486
1439779095518 5 958 4.682306940371457 14738.461538461554
1439779095770 5 965 4.7165200391006845 16637.931034482775
1439779096275 5 972 4.750733137829912 19058.823529411784
1439779096526 5 976 4.7702834799608995 20765.95744680853
1439779097284 5 982 4.79960899315738 23951.219512195144
1439779100553 5 984 4.809384164222874 25230.769230769256
1439779104081 5 980 4.789833822091887 22790.697674418625
1439779105088 5 960 4.69208211143695 15238.095238095251
1439779105342 5 952 4.652981427174976 13408.450704225364
1439779105844 5 919 4.49169110459433 8836.538461538452
1439779106096 5 909 4.442815249266862 7973.684210526309
1439779106599 5 906 4.428152492668621 7743.589743589739
1439779129757 5 937 4.579667644183774 10895.348837209312
1439779130262 5 926 4.525904203323559 9546.391752577329
1439779131019 5 908 4.437927663734115 7895.6521739130385
